statsmodel_formula,statsmodel_matrix,lme4,nlme,bam
0.5667,0.5457,0.034,0.054,1.8668
0.6446,0.6686,0.027,0.054,1.8926
0.6416,0.6027,0.026,0.053,1.9927
0.6846,0.6176,0.026,0.053,1.8993
0.6816,0.6696,0.029,0.053,1.9611
0.6506,0.6196,0.029,0.053,1.9931
0.6586,0.6586,0.035,0.055,1.9396
0.7646,0.6576,0.035,0.062,2.0984
0.6986,0.5877,0.03,0.055,1.8501
0.8055,0.6076,0.031,0.058,1.9341
0.7086,0.6057,0.034,0.059,1.8907
0.7276,0.5917,0.027,0.055,1.9577
0.6666,0.6376,0.027,0.053,2.0269
0.7696,0.6406,0.026,0.057,2.0592
0.7226,0.6316,0.026,0.061,1.8898
0.8095,0.6086,0.029,0.052,1.9413
0.6257,0.6146,0.031,0.052,1.9289
0.6716,0.5787,0.029,0.054,1.9093
0.6616,0.6346,0.027,0.052,2.0778
0.8715,0.6406,0.028,0.053,1.8876
0.7686,0.6156,0.028,0.052,1.8727
0.6326,0.6426,0.027,0.053,1.8563
0.6536,0.6106,0.03,0.052,1.846
0.6746,0.6356,0.025,0.052,1.9838
0.6556,0.6536,0.027,0.052,1.9007
0.6666,0.6556,0.027,0.054,1.8791
0.6546,0.5777,0.026,0.057,1.9213
0.8025,0.6196,0.029,0.059,2.4236
0.6496,0.6206,0.028,0.058,2.2444
0.6286,0.6096,0.028,0.054,1.8499
0.6836,0.6596,0.027,0.055,1.9208
0.7296,0.6176,0.028,0.062,1.8451
0.8875,0.6096,0.028,0.058,1.8983
0.8745,0.6136,0.029,0.052,1.9072
0.6426,0.6116,0.031,0.053,1.9607
0.7776,0.6316,0.027,0.052,1.9026
0.6516,0.6226,0.027,0.054,1.8457
0.8685,0.5857,0.026,0.052,1.8432
0.7356,0.5927,0.027,0.058,1.8993
0.6406,0.5987,0.029,0.053,2.0084
0.7266,0.5997,0.027,0.053,1.9154
0.6566,0.6566,0.028,0.052,1.8654
0.7895,0.6446,0.031,0.057,1.8813
0.7446,0.6106,0.027,0.054,1.8687
0.6726,0.6466,0.028,0.07,1.968
0.6656,0.6246,0.032,0.056,1.8647
0.8595,0.6067,0.029,0.056,1.8972
0.8805,0.6866,0.027,0.056,1.9645
0.8235,0.6356,0.028,0.056,1.9806
0.6996,0.6077,0.034,0.053,2.0778
0.7376,0.6346,0.028,0.056,2.1128
0.6786,0.6236,0.03,0.052,2.0102
0.6876,0.5907,0.028,0.052,2.1185
0.6516,0.6586,0.029,0.052,2.4656
0.7016,0.6656,0.027,0.059,2.9573
0.7006,0.6236,0.034,0.056,2.3481
0.6047,0.6216,0.028,0.055,2.0089
0.6027,0.6176,0.031,0.058,2.0004
0.5987,0.6196,0.032,0.062,1.9699
0.6286,0.6556,0.03,0.057,1.9473
0.6506,0.6496,0.028,0.053,2.2741
0.6386,0.6176,0.03,0.054,2.0716
0.6296,0.6027,0.029,0.054,2.1498
0.6096,0.6286,0.028,0.054,2.2707
0.6286,0.7076,0.025,0.055,3.0582
0.6836,0.6166,0.026,0.056,3.0383
0.6047,0.6017,0.027,0.069,2.1467
0.6416,0.6037,0.028,0.059,2.4976
0.6266,0.6057,0.026,0.055,2.0998
0.6156,0.6246,0.03,0.054,1.947
0.6017,0.6656,0.025,0.055,2.1228
0.6836,0.5587,0.026,0.053,2.1048
0.6326,0.5977,0.025,0.054,2.0148
0.6276,0.6536,0.025,0.056,2.0388
0.5977,0.6156,0.027,0.055,1.9629
0.6256,0.6906,0.027,0.051,1.9632
0.6106,0.5887,0.027,0.052,2.0842
0.6836,0.5547,0.028,0.054,1.9829
0.6346,0.6536,0.027,0.053,1.9616
0.6096,0.5957,0.027,0.055,2.0028
0.5967,0.6236,0.031,0.052,1.9689
0.6037,0.6396,0.027,0.052,2.1078
0.6856,0.6406,0.027,0.051,1.9819
0.6336,0.6546,0.027,0.052,2.0565
0.5897,0.5847,0.025,0.055,2.0159
0.6126,0.6426,0.028,0.052,2.019
0.6206,0.6366,0.031,0.051,2.1468
0.6316,0.6007,0.031,0.053,1.9909
0.7016,0.6586,0.028,0.052,2.0184
0.6256,0.6197,0.033,0.065,2.0348
0.6336,0.6156,0.026,0.054,2.0368
0.6027,0.6126,0.026,0.051,2.2217
0.6486,0.6406,0.035,0.051,2.022
0.5897,0.6436,0.025,0.052,2.0402
0.6506,0.6656,0.025,0.068,1.953
0.6386,0.6156,0.025,0.0729,1.8897
0.6106,0.5917,0.026,0.052,1.8425
0.7056,0.5807,0.026,0.052,1.9804
0.5857,0.6346,0.025,0.051,1.9399
0.6226,0.6546,0.026,0.054,1.87
